,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond
0,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
1,None,Gd,TA,Gd,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
2,BrkFace,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
3,None,TA,Gd,No,ALQ,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
4,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
5,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
6,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
7,Stone,Gd,TA,Mn,ALQ,BLQ,SBrkr,TA,Attchd,RFn,TA,TA
8,None,TA,TA,No,Unf,Unf,FuseF,TA,Detchd,Unf,Fa,TA
9,None,TA,TA,No,GLQ,Unf,SBrkr,TA,Attchd,RFn,Gd,TA
10,None,TA,TA,No,Rec,Unf,SBrkr,,Detchd,Unf,TA,TA
11,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
12,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
13,Stone,Gd,TA,Av,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
14,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Fa,Attchd,RFn,TA,TA
15,None,TA,TA,No,Unf,Unf,FuseA,,Detchd,Unf,TA,TA
16,BrkFace,TA,TA,No,ALQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
17,None,,,,,,SBrkr,,CarPort,Unf,TA,TA
18,None,TA,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
19,None,TA,TA,No,LwQ,Unf,SBrkr,,Attchd,Unf,TA,TA
20,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA
21,None,TA,TA,No,Unf,Unf,FuseF,Gd,Attchd,Unf,TA,TA
22,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
23,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
24,None,TA,TA,Mn,Rec,ALQ,SBrkr,TA,Attchd,Unf,TA,TA
25,Stone,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
26,None,TA,TA,Mn,BLQ,Rec,SBrkr,,Detchd,Unf,TA,TA
27,Stone,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
28,None,TA,TA,Gd,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
29,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,TA
30,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,Fa
31,None,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
32,None,Ex,TA,Av,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
33,None,TA,TA,No,Rec,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
34,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
35,Stone,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
36,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
37,BrkFace,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,Fin,TA,TA
38,None,TA,TA,No,GLQ,Unf,SBrkr,,Detchd,Unf,TA,TA
39,None,,,,,,FuseP,,,,,
40,BrkFace,TA,TA,No,Rec,Unf,SBrkr,TA,Attchd,RFn,TA,TA
41,None,TA,TA,Gd,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
42,None,Gd,TA,Av,ALQ,LwQ,SBrkr,,Attchd,RFn,TA,Gd
43,None,Gd,TA,Av,LwQ,BLQ,SBrkr,,Detchd,Unf,TA,TA
44,None,TA,TA,No,ALQ,BLQ,FuseA,,Attchd,RFn,TA,TA
45,BrkFace,Ex,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
46,None,Ex,TA,No,GLQ,Unf,SBrkr,Ex,Attchd,RFn,TA,TA
47,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
48,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
49,None,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
50,None,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
51,None,TA,TA,No,Unf,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
52,None,Gd,TA,Gd,LwQ,GLQ,SBrkr,,CarPort,Unf,TA,TA
53,None,Ex,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
54,None,TA,TA,No,ALQ,Unf,SBrkr,TA,Detchd,Unf,TA,TA
55,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
56,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
57,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
58,BrkFace,Ex,TA,Gd,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
59,None,TA,TA,Av,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
60,None,Gd,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
61,None,TA,Fa,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
62,Stone,Gd,Gd,Mn,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
63,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
64,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
65,BrkFace,Ex,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,RFn,TA,TA
66,BrkFace,Gd,TA,Gd,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
67,BrkFace,Gd,TA,Av,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
68,None,TA,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
69,None,TA,TA,No,BLQ,Unf,SBrkr,TA,Attchd,Fin,TA,TA
70,BrkFace,Gd,TA,Gd,ALQ,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
71,None,TA,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
72,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
73,BrkFace,TA,TA,No,ALQ,BLQ,SBrkr,,Attchd,Unf,TA,TA
74,None,Fa,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
75,None,Gd,TA,Gd,GLQ,Unf,SBrkr,,BuiltIn,Unf,TA,TA
76,None,TA,TA,No,ALQ,Unf,FuseA,,Detchd,Unf,TA,TA
77,None,TA,TA,No,BLQ,GLQ,SBrkr,,Detchd,Unf,TA,TA
78,None,TA,TA,No,Unf,Unf,SBrkr,,,,,
79,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
80,BrkFace,Gd,TA,No,Rec,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
81,BrkFace,Ex,Gd,No,GLQ,Unf,SBrkr,,Attchd,Fin,TA,TA
82,Stone,Gd,TA,No,GLQ,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
83,BrkCmn,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
84,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
85,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
86,None,Gd,TA,Av,Unf,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
87,Stone,Gd,TA,Av,Unf,Unf,SBrkr,,Detchd,RFn,TA,TA
88,None,TA,Fa,No,Unf,Unf,SBrkr,,,,,
89,None,Gd,TA,No,GLQ,Unf,SBrkr,,,,,
90,None,,,,,,FuseA,,Detchd,Unf,TA,TA
91,BrkCmn,TA,TA,No,Rec,Unf,SBrkr,,Attchd,Unf,TA,TA
92,None,Gd,TA,No,ALQ,Unf,SBrkr,,Detchd,Unf,TA,TA
93,None,TA,Fa,Mn,Rec,Unf,SBrkr,Gd,Detchd,Unf,TA,TA
94,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
95,BrkFace,Gd,Gd,No,ALQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
96,BrkFace,Gd,TA,Av,ALQ,Unf,SBrkr,,Attchd,RFn,TA,TA
97,BrkFace,TA,TA,No,Rec,Unf,FuseF,,Attchd,Fin,TA,TA
98,None,TA,TA,No,ALQ,Unf,SBrkr,,Basment,Unf,Fa,TA
99,None,TA,TA,No,ALQ,Unf,SBrkr,,,,,
100,BrkFace,TA,TA,Mn,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
101,BrkFace,Gd,TA,No,Unf,Unf,SBrkr,TA,Attchd,Fin,TA,TA
102,None,,,,,,SBrkr,,Attchd,Unf,TA,TA
103,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,RFn,TA,TA
104,BrkFace,TA,TA,No,LwQ,Unf,FuseF,TA,Detchd,Unf,TA,TA
105,BrkFace,Ex,TA,No,Unf,Unf,SBrkr,Gd,Attchd,RFn,TA,TA
106,None,Fa,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,Fa,Fa
107,None,TA,TA,No,ALQ,BLQ,SBrkr,,Detchd,Unf,TA,TA
108,None,TA,TA,No,Unf,Unf,FuseF,,,,,
109,BrkFace,Gd,TA,No,BLQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
110,None,TA,Fa,No,Rec,Unf,SBrkr,,Attchd,Unf,TA,TA
111,None,Gd,TA,No,GLQ,Unf,SBrkr,TA,BuiltIn,Fin,TA,TA
112,Stone,Ex,TA,Av,GLQ,Unf,SBrkr,Gd,BuiltIn,Fin,TA,TA
113,BrkFace,Gd,TA,Mn,ALQ,Rec,SBrkr,Gd,Basment,Unf,TA,TA
114,None,TA,TA,No,ALQ,LwQ,SBrkr,TA,Detchd,Unf,TA,TA
115,BrkFace,Gd,TA,No,GLQ,Unf,SBrkr,Fa,Detchd,Unf,TA,TA
116,BrkFace,TA,TA,No,LwQ,BLQ,SBrkr,Po,Attchd,Unf,TA,TA
117,None,Gd,TA,No,Unf,Unf,SBrkr,,Attchd,Unf,TA,TA
118,None,Gd,TA,Mn,GLQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
119,None,Gd,TA,No,Unf,Unf,SBrkr,Gd,Attchd,Fin,TA,TA
120,None,TA,TA,Gd,ALQ,Unf,SBrkr,TA,Attchd,Unf,TA,TA
121,None,TA,TA,No,Unf,Unf,SBrkr,,Detchd,Unf,TA,TA
122,BrkFace,TA,TA,No,BLQ,Unf,SBrkr,,Attchd,Unf,TA,TA
123,None,Gd,TA,No,GLQ,Unf,SBrkr,,Attchd,RFn,TA,TA
124,None,Gd,Fa,No,Unf,Unf,SBrkr,TA,Attchd,Unf,TA,TA
125,None,TA,TA,Av,GLQ,Unf,SBrkr,,,,,
126,None,Gd,TA,No,ALQ,Unf,SBrkr,TA,Attchd,RFn,TA,TA
127,None,TA,TA,No,LwQ,Unf,SBrkr,TA,,,,
